timestamp,epoch,memUsage,loss,accuracy
1695184945.7404788,1,2142.0,2.2262933254241943,23.6328125
1695184969.2373147,2,2298.0,1.8285359144210815,26.1474609375
1695184992.6008477,3,2351.0,1.4599398374557495,38.5986328125
1695185016.1107593,4,2327.0,1.9407234191894531,40.8935546875
1695185039.5385265,5,2324.0,1.561782956123352,44.1650390625
1695185063.3167853,6,2324.0,1.7153395414352417,45.556640625
1695185087.3589933,7,2324.0,1.427066445350647,48.14453125
1695185112.0004683,8,2324.0,1.4555003643035889,44.287109375
1695185133.945743,9,2324.0,1.214469313621521,57.9345703125
1695185155.2964208,10,2325.0,0.8480101823806763,49.0966796875
