timestamp,epoch,memUsage,loss,accuracy
1695185194.2679522,1,3959.0,2.070326089859009,25.9521484375
1695185215.0940351,2,3986.0,1.7249979972839355,31.689453125
1695185235.6200235,3,3992.0,1.8224897384643555,32.1533203125
1695185255.3850503,4,3967.0,1.6461424827575684,32.12890625
1695185273.860457,5,4346.0,1.5965735912322998,35.7666015625
1695185292.3271804,6,4347.0,1.4294449090957642,43.603515625
1695185310.748422,7,4347.0,1.3291648626327515,47.1435546875
1695185335.2938492,8,4323.0,1.2839456796646118,54.7119140625
1695185362.8184967,9,4338.0,1.071769118309021,48.9990234375
1695185391.7200553,10,4349.0,1.0893772840499878,49.2919921875
