timestamp,epoch,memUsage,loss,accuracy
1695184617.594282,1,1684.0,2.0947234630584717,22.802734375
1695184649.4762628,2,1684.0,1.822094202041626,28.955078125
1695184680.5335362,3,1684.0,1.4613969326019287,32.4462890625
1695184712.375614,4,1684.0,1.4305211305618286,37.0361328125
1695184760.603269,5,1684.0,1.8507897853851318,40.7470703125
1695184792.5894396,6,1684.0,1.811536192893982,41.552734375
1695184824.7428026,7,1684.0,2.5293567180633545,46.7041015625
1695184856.196228,8,1684.0,1.3423609733581543,43.5791015625
1695184887.4375155,9,1684.0,0.8414416313171387,47.16796875
1695184919.545245,10,1684.0,1.355339527130127,51.220703125
